Date,WeightP,WeightK
6/14/2020,185.1883002,84
6/21/2020,185.1883002,84
6/22/2020,185.1883002,84
7/13/2020,185.1883002,84
7/20/2020,182.9836776,83
7/31/2020,182.9836776,83
8/14/2020,185.1883002,84
8/19/2020,180.779055,82
8/20/2020,180.779055,82
8/28/2020,178.5744324,81
09/04/2020,178.5744324,81
09/12/2020,176.3698097,80
10/10/2020,174.1651871,79
1/31/2021,178.5744324,81
2/17/2021,185.1883002,84
2/26/2021,178.5744324,81
03/04/2021,179.6767437,81.5
03/10/2021,176.3698097,80
3/15/2021,174.1651871,79
04/02/2021,176.3698097,80
4/27/2021,180.779055,82
09/01/2021,182.9836776,83
09/10/2021,180.779055,82
9/19/2021,176.3698097,80
10/10/2021,176.3698097,80
10/16/2021,176.3698097,80
01/02/2022,177.4721211,80.5
